08-10-2018 10:24:25 [restartedMain] {50} INFO  b.c.p.NocaCorporationApplication - Starting NocaCorporationApplication on DESKTOP-H1527R1 with PID 16580 (C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation\target\classes started by pimen in C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation)
08-10-2018 10:24:25 [restartedMain] {680} INFO  b.c.p.NocaCorporationApplication - No active profile set, falling back to default profiles: default
08-10-2018 10:24:37 [restartedMain] {59} INFO  b.c.p.NocaCorporationApplication - Started NocaCorporationApplication in 11.815 seconds (JVM running for 13.969)
08-10-2018 11:21:51 [restartedMain] {50} INFO  b.c.p.NocaCorporationApplication - Starting NocaCorporationApplication on DESKTOP-H1527R1 with PID 16580 (C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation\target\classes started by pimen in C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation)
08-10-2018 11:21:51 [restartedMain] {680} INFO  b.c.p.NocaCorporationApplication - No active profile set, falling back to default profiles: default
08-10-2018 11:21:58 [restartedMain] {59} INFO  b.c.p.NocaCorporationApplication - Started NocaCorporationApplication in 7.236 seconds (JVM running for 3455.051)
08-10-2018 11:22:02 [restartedMain] {50} INFO  b.c.p.NocaCorporationApplication - Starting NocaCorporationApplication on DESKTOP-H1527R1 with PID 16580 (C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation\target\classes started by pimen in C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation)
08-10-2018 11:22:02 [restartedMain] {680} INFO  b.c.p.NocaCorporationApplication - No active profile set, falling back to default profiles: default
08-10-2018 11:22:07 [restartedMain] {59} INFO  b.c.p.NocaCorporationApplication - Started NocaCorporationApplication in 5.221 seconds (JVM running for 3464.293)
08-10-2018 11:25:32 [restartedMain] {50} INFO  b.c.p.NocaCorporationApplication - Starting NocaCorporationApplication on DESKTOP-H1527R1 with PID 5480 (C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation\target\classes started by pimen in C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation)
08-10-2018 11:25:32 [restartedMain] {680} INFO  b.c.p.NocaCorporationApplication - No active profile set, falling back to default profiles: default
08-10-2018 11:25:42 [restartedMain] {59} INFO  b.c.p.NocaCorporationApplication - Started NocaCorporationApplication in 10.755 seconds (JVM running for 13.57)
08-10-2018 11:27:06 [restartedMain] {50} INFO  b.c.p.NocaCorporationApplication - Starting NocaCorporationApplication on DESKTOP-H1527R1 with PID 5480 (C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation\target\classes started by pimen in C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation)
08-10-2018 11:27:06 [restartedMain] {680} INFO  b.c.p.NocaCorporationApplication - No active profile set, falling back to default profiles: default
